name,latitude,longitude,free_bikes
"200221 - Crabtree Lane, Fulham",51.48294452,-0.219346128,13
"200220 - Blythe Road West, Shepherd's Bush",51.49968,-0.221791551,5
"300005 - Ethelburga Estate, Battersea Park",51.47729232,-0.16478637,26
"200212 - Blackfriars Station, St. Paul's",51.511934,-0.10307894,11
"200124 - Clarendon Road, Avondale",51.51323001,-0.211593602,15
"300013 - Austin Road, Battersea Park",51.474376,-0.155442787,19
"200113 - Smugglers Way, Wandsworth",51.46108367,-0.191722864,0
"200209 - Shepherd's Bush Road North, Shepherd's Bush",51.5015946,-0.222293381,23
"300037 - Ravenscourt Park Station, Hammersmith",51.49422354,-0.236769936,26
"300036 - Teversham Lane, Stockwell",51.47614939,-0.1232585,27
"200169 - Ashley Crescent, Battersea",51.46718562,-0.152248582,5
"300052 - Parsons Green Station, Parsons Green",51.475089,-0.201968,30
"300051 - Hibbert Street, Battersea",51.46517078,-0.18038939,1
"300035 - Carnegie Street, King's Cross",51.53546778,-0.11619105,22
"200126 - Usk Road, Clapham Junction",51.46348914,-0.182126248,0
"200207 - Hartington Road, Stockwell",51.47787084,-0.126874471,13
"200023 - Heath Road, Battersea",51.46866929,-0.146544642,13
"200170 - Esmond Street, Putney",51.46231278,-0.211468596,11
"200114 - Orbel Street, Battersea",51.47453545,-0.170210533,17
"200210 - Westbridge Road, Battersea",51.47768469,-0.170329317,17
"200043 - Bishop's Avenue, Fulham",51.47303687,-0.214749808,37
"200188 - Neville Gill Close, Wandsworth",51.45475251,-0.195197203,18
"200219 - Osiers Road, Wandsworth",51.46067005,-0.198735357,5
"200097 - Beryl Road, Hammersmith",51.48814438,-0.222456468,19
"200204 - Northfields, Wandsworth",51.46095151,-0.20066766,7
"200199 - Stanley Grove, Battersea",51.47047503,-0.152130083,3
"200184 - Erin Close, Walham Green",51.47946386,-0.195777222,19
"200112 - Cadogan Close, Victoria Park",51.54211855,-0.028941601,19
"300019 - Felsham Road, Putney",51.464786,-0.215618902,16
"300033 - Putney Rail Station, Putney",51.46071722,-0.216526155,12
"300031 - Islington Green, Angel",51.53638435,-0.102757578,10
"300018 - Charing Cross Hospital, Hammersmith",51.48728535,-0.217995921,5
"200121 - Shoreditch Court, Haggerston",51.53908372,-0.070329419,23
"200201 - Battersea Church Road, Battersea",51.47696496,-0.174347066,8
"200213 - Durant Street, Bethnal Green",51.52868155,-0.065550321,13
"200063 - Mexfield Road, East Putney",51.45682071,-0.202802098,4
"200193 - Snowsfields, London Bridge",51.50215353,-0.083632928,31
"200197 - Barons Court Station, West Kensington",51.49021762,-0.215087092,9
"300045 - Albert Bridge Road, Battersea Park",51.47439218,-0.163347594,4
"300028 - Everington Street, Fulham",51.48335692,-0.216305546,14
"300056 - Mile End Stadium, Mile End",51.51854104,-0.034903714,9
"300055 - Stewart's Road, Wandsworth Road",51.47311696,-0.137235175,10
"300049 - Aylward Street, Stepney",51.51563007,-0.049067243,1
"300024 - Dunston Road , Haggerston",51.53658514,-0.075885686,26
"300040 - Ada Street, Hackney Central",51.53571683,-0.060291813,45
"300011 - Victoria Park Road, Hackney Central",51.53642464,-0.054162264,21
"300038 - Star Road, West Kensington",51.48724429,-0.205279052,10
